index,unit2_pos,unit1_beam_32,unit1_beam_64
1,"[0.458303400996863, 0.8798701296379362]",19,37
2,"[0.3443484329210651, 0.08982683970949462]",19,34
3,"[0.6222162927665967, 0.08225108212325087]",2,4
4,"[0.18560784877089626, 0.8322510822385987]",26,51
5,"[0.3916381026627444, 0.08225108212325087]",15,29
6,"[0.5613595779994403, 0.06385281405105236]",6,11
7,"[0.46318835819798004, 0.8333333332564348]",15,28
8,"[0.5795037047610301, 0.0790043289159456]",6,10
9,"[0.40290634428230315, 0.1255411254512441]",18,34
10,"[0.1373329775674542, 0.12987012967638545]",27,53
11,"[0.20104267154545233, 0.1320346320196518]",24,47
12,"[0.3326081155953056, 0.03896103879525764]",19,37
13,"[0.20266414892544454, 0.11255411262202297]",24,47
14,"[0.5590402495907171, 0.06385281405105236]",6,10
15,"[0.7461464255643541, 0.7564935063761613]",4,7
16,"[0.615689333138931, 0.02272727275873123]",3,6
17,"[0.40588247367039615, 0.07359307351917108]",14,27
18,"[0.2565218283733185, 0.09523809526006626]",23,44
19,"[0.26194043636197, 0.12987012967638545]",25,49
20,"[0.8505983046243933, 0.8019480517398266]",2,2
21,"[0.12873298988556808, 0.8755411255665919]",28,55
22,"[0.449559738105753, 0.08874458869165856]",12,23
23,"[0.3088401305399226, 0.8398268395172482]",22,43
24,"[0.6843866094633251, 0.7673160173235074]",6,10
25,"[0.038258656432121396, 0.9080086581010361]",30,58
26,"[0.7723363641883231, 0.754329004186692]",3,6
27,"[0.3452310092229651, 0.9134199133440135]",24,47
28,"[0.49227232609673566, 0.7987012985325214]",14,27
29,"[0.5732230455024512, 0.8928571426209544]",14,27
30,"[0.9687198538551886, 0.8387445884994121]",3,6
31,"[0.14424991277343047, 0.13636363624479314]",30,60
32,"[0.4231645491620586, 0.06277056272562205]",13,26
33,"[0.40446624659554553, 0.04004329012068795]",15,29
34,"[0.07664046304149418, 0.12012987020826672]",30,58
35,"[0.4377783707306323, 0.07359307351917108]",12,22
36,"[0.14057593235660643, 0.09415584424223021]",27,53
37,"[0.4221998727468523, 0.753246753168856]",17,34
38,"[0.4683196157681837, 0.876623376584428]",18,34
39,"[0.41154738202813435, 0.08874458869165856]",14,27
40,"[0.5056341208170713, 0.11363636363985903]",8,14
41,"[0.0468996941779526, 0.8690476189981843]",30,59
42,"[0.8724574618667523, 0.7499999998077536]",2,2
43,"[0.031177520984948665, 0.8993506491893621]",30,59
44,"[0.2637671640616877, 0.03679653675958554]",23,44
45,"[0.016112148771314536, 0.8820346318274054]",30,60
46,"[0.10898791076137462, 0.8841991341706718]",28,55
47,"[0.6574782947786526, 0.032467532534444205]",2,3
48,"[0.6729952176665149, 0.050865800914236974]",2,3
49,"[0.5125100059591025, 0.03787878777742159]",9,16
50,"[0.28620102214094245, 0.0909090908811278]",20,39
51,"[0.7334003817594432, 0.7597402597372637]",4,8
52,"[0.16951622503155425, 0.1168831168471643]",26,51
53,"[0.2926048315913567, 0.8192640691017833]",22,43
54,"[0.1573654071100955, 0.825757575670191]",27,53
55,"[0.5501734365077717, 0.04653679668909564]",6,11
56,"[0.07389010899051528, 0.05952380951831677]",30,59
57,"[0.19704029063165146, 0.01731601720815959]",25,49
58,"[0.07144763038995677, 0.14610389617430322]",29,57
59,"[0.6240019704023694, 0.7489177489437147]",9,16
60,"[0.20301307443981004, 0.8744588742411616]",26,52
61,"[0.0118224174390658, 0.9220779219480933]",30,60
62,"[0.5107038032913573, 0.08008658008757877]",9,17
63,"[0.38646579504317957, 0.07792207789810954]",15,29
64,"[0.5915313725052375, 0.8170995669123141]",9,17
65,"[0.2655528416828764, 0.8625541124297765]",23,45
66,"[0.6610701750821703, 0.7716450215486488]",7,13
67,"[0.17462695758436927, 0.10606060605361528]",26,51
68,"[0.16592434474262044, 0.8333333332564348]",26,54
69,"[0.04809014593027303, 0.9036796535683006]",30,58
70,"[0.09642659222963273, 0.054112554121542256]",30,59
71,"[0.2699041481110428, 0.9502164501035991]",25,49
72,"[0.41468771167200774, 0.04004329012068795]",14,27
73,"[0.7950780977325821, 0.8333333332564348]",7,13
74,"[0.6353523121498182, 0.7932900431357468]",8,15
75,"[0.1008599987711054, 0.8863636363601409]",28,55
76,"[0.44633730834857327, 0.07575757586243743]",12,22
77,"[0.1553950042157378, 0.11904761919043066]",28,54
78,"[0.6485499066143735, 0.032467532534444205]",2,4
79,"[0.7994088791287759, 0.7521645021510199]",2,3
80,"[0.6597155230740694, 0.07792207789810954]",2,3
81,"[0.6703680137927874, 0.7987012985325214]",7,14
82,"[0.506578272200305, 0.08116883110541483]",9,17
83,"[0.28154184027693957, 0.123376623415572]",20,39
84,"[0.4323802877593694, 0.7521645021510199]",17,33
85,"[0.3021079206071154, 0.12121212122610277]",20,36
86,"[0.40097699143730664, 0.8084415583082343]",18,34
87,"[0.3276821083302435, 0.03896103879525764]",19,38
88,"[0.7880790624132995, 0.7662337659980771]",3,6
89,"[0.10157837483180894, 0.09523809526006626]",29,57
90,"[0.16972147533669582, 0.041125541138524]",26,52
91,"[0.4935859280408914, 0.08549783563815042]",10,19
92,"[0.3304735124451675, 0.08982683970949462]",19,38
93,"[0.403563145261673, 0.06818181796859943]",14,26
94,"[0.4388867223550625, 0.8863636363601409]",20,39
95,"[0.5575829724373373, 0.8095238093260704]",12,22
96,"[0.296730362682409, 0.8582251082046353]",22,43
97,"[0.361794708653924, 0.1168831168471643]",15,29
98,"[0.6462100531590939, 0.8106060606515006]",7,14
99,"[0.5688922641208413, 0.06385281405105236]",6,11
100,"[0.05486340592702536, 0.9080086581010361]",29,57
101,"[0.42554545268128335, 0.08658008665598646]",14,26
102,"[0.04441616551344901, 0.8560606058613689]",30,60
103,"[0.4837339135107672, 0.12121212122610277]",13,25
104,"[0.26949364750075966, 0.08008658008757877]",22,42
105,"[0.4289526077116321, 0.07792207789810954]",12,23
106,"[0.40926910366877234, 0.8409090908426785]",18,34
107,"[0.48843414543871516, 0.8712121210338564]",17,33
108,"[0.4442232302304078, 0.009740259775712974]",12,22
109,"[0.300404343099233, 0.07683982688027349]",20,39
110,"[0.6075819461806344, 0.7932900431357468]",9,17
111,"[0.5196116664236639, 0.03787878777742159]",8,14
112,"[0.20943740892219687, 0.826839826688027]",26,51
113,"[0.22097247594281483, 0.8030303030652569]",25,49
114,"[0.481373535023515, 0.053030303103706204]",9,17
115,"[0.5163071365531778, 0.826839826688027]",12,24
116,"[0.5332608115624473, 0.1168831168471643]",9,18
117,"[0.414585086512145, 0.06493506506888841]",13,26
118,"[0.2023767985069967, 0.9339826837594785]",30,59
119,"[0.40300896944216585, 0.826839826688027]",19,34
120,"[0.67560189650827, 0.027056276983872564]",2,2
121,"[0.436444243754504, 0.8181818179301501]",16,32
122,"[0.479095256664153, 0.8095238093260704]",14,27
123,"[0.23353379447455672, 0.928571428516501]",28,55
124,"[0.5492498101419266, 0.03679653675958554]",6,11
125,"[0.4806346339308389, 0.07142857132970185]",10,19
126,"[0.25514665134782905, 0.8636363634476126]",24,48
127,"[0.5369553170112439, 0.11363636363985903]",6,11
128,"[0.5326450606470227, 0.04761904770693169]",7,13
129,"[0.26922682211428434, 0.12878787881234652]",24,47
130,"[0.3893187742394373, 0.1255411254512441]",19,34
131,"[0.6540711397483039, 0.07792207789810954]",2,4
132,"[0.28700149832953614, 0.09415584424223021]",21,42
133,"[0.3113647092683713, 0.07792207789810954]",19,37
134,"[0.036226678441846044, 0.8582251082046353]",30,60
135,"[0.4955973809991942, 0.7467532466004483]",14,27
136,"[0.45666139857031435, 0.05844155850048072]",11,21
137,"[0.33453746844030213, 0.08008658008757877]",18,34
138,"[0.09234211120252557, 0.1168831168471643]",30,58
139,"[0.1833090453795617, 0.04004329012068795]",26,51
140,"[0.43305761375612783, 0.08658008665598646]",13,26
141,"[0.5163071365531778, 0.08441558446651723]",9,17
142,"[0.14759549270786151, 1.0]",30,59
143,"[0.6365838139660838, 0.774891774755954]",9,17
144,"[0.6550973912740117, 0.08549783563815042]",2,4
145,"[0.7549106134874367, 0.8019480517398266]",4,7
146,"[0.5007696886333429, 0.805194805100929]",13,26
147,"[0.5116479546745911, 0.8030303030652569]",12,23
148,"[0.47554442642458034, 0.07575757586243743]",9,17
149,"[0.49553580591786045, 0.014069264154651435]",9,17
150,"[0.5117711048664264, 0.11796536786500036]",11,21
151,"[0.3687937439732066, 0.03896103879525764]",17,33
152,"[0.2606268344323982, 0.8181818179301501]",24,46
153,"[0.4233903244991727, 0.0909090908811278]",14,26
154,"[0.3735966010610173, 0.8441558440499838]",19,37
155,"[0.08316742266915983, 0.09740259744953549]",30,58
156,"[0.49231337616068077, 0.7943722941535829]",13,26
157,"[0.04605816793999768, 0.13852813858805949]",30,60
158,"[0.06407914452433619, 0.13528138522695707]",30,59
159,"[0.3292830606928471, 0.0]",19,37
160,"[0.6638205291331493, 0.7337662337712272]",6,11
161,"[0.25165739618959015, 0.10173160182847395]",22,43
162,"[0.2612220603012665, 0.8463203463932502]",24,46
163,"[0.2349705465813799, 0.8225108224628858]",24,46
164,"[0.3324233903221366, 0.07683982688027349]",19,34
165,"[0.05478130579913517, 0.13852813858805949]",30,59
166,"[0.07261755711030465, 0.13311688303748784]",30,59
167,"[0.1271320375229645, 0.09632034643169944]",28,54
168,"[0.17148662794049588, 0.8798701296379362]",26,52
169,"[0.851398780812987, 0.835497835445904]",4,8
170,"[0.6758892469413017, 0.08441558446651723]",2,3
171,"[0.06810205045552571, 0.12229437224393883]",30,59
172,"[0.5432565013017955, 0.8950216449642208]",15,29
173,"[0.7439707723502709, 0.7943722941535829]",4,6
174,"[0.6445885757645177, 0.7932900431357468]",7,13
175,"[0.33045298741319495, 0.09956709948520759]",20,39
176,"[0.8271381950340146, 0.8831168828452415]",6,11
177,"[0.9534492313364129, 0.8376623374815761]",4,6
178,"[0.6749245705115114, 0.1071428573790456]",6,11
179,"[0.5771228012563893, 0.06277056272562205]",5,9
180,"[0.49182077543709135, 0.03787878777742159]",9,17
181,"[0.09221896102527419, 0.050865800914236974]",30,59
182,"[0.43790152090788365, 0.06493506506888841]",12,22
183,"[0.3307813879101718, 0.8376623374815761]",20,39
184,"[0.54122452331152, 0.06493506506888841]",6,11
185,"[0.5680507378683024, 0.06277056272562205]",6,11
186,"[0.3055561257014092, 0.09415584424223021]",20,39
187,"[0.4948995299704632, 0.8300865800491295]",14,26
188,"[0.15030479669489533, 0.83658008646374]",28,54
189,"[0.2604010590952841, 0.8311688309131684]",23,45
190,"[0.05792163544300857, 0.8993506491893621]",29,57
191,"[0.6515465610344391, 0.04004329012068795]",2,4
192,"[0.09234211120252557, 0.09632034643169944]",29,57
193,"[0.16099833747755835, 0.8809523808095693]",28,54
194,"[0.18922025410638654, 0.08333333344868118]",26,51
195,"[0.6952443504871846, 0.7965367964968493]",6,10
196,"[0.56546458405852, 0.8538961039794939]",14,27
197,"[0.545001128873623, 0.8106060606515006]",12,23
198,"[0.5781695777994857, 0.0790043289159456]",6,11
199,"[0.4574823997908806, 0.7997835497041546]",14,28
200,"[0.5125100059591025, 0.08441558446651723]",9,17
201,"[0.5874674165101029, 0.7467532466004483]",10,19
202,"[0.46113585517573213, 0.010822510793549026]",11,20
203,"[0.5179696640116991, 0.07792207789810954]",7,14
204,"[0.5839986863984205, 0.11363636363985903]",7,13
205,"[0.6512592106014073, 0.05844155850048072]",2,3
206,"[0.2875761991810158, 0.09632034643169944]",20,39
207,"[0.5232651218230993, 0.06709956695076338]",7,14
208,"[0.06742472445876725, 0.8603896102403074]",30,59
209,"[0.4623878820239702, 0.7759740257737902]",15,29
210,"[0.20151474723706922, 0.8409090908426785]",25,49
211,"[0.4635783337762906, 0.07359307351917108]",11,21
212,"[0.46704706388797307, 0.08874458869165856]",11,22
213,"[0.38279181461177164, 0.9058441557577698]",22,42
214,"[0.5100059522626263, 0.05844155850048072]",8,14
215,"[0.708482995001101, 0.764069263962405]",6,11
216,"[0.2644650150904187, 0.08116883110541483]",22,42
217,"[0.5692206646032342, 0.08008658008757877]",6,11
218,"[0.4264485540151559, 0.06601731608672447]",12,23
219,"[0.21138728679916594, 0.08549783563815042]",24,47
220,"[0.4944069292468738, 0.816017315894478]",14,27
221,"[0.35319472095745397, 0.07467532484460139]",17,34
222,"[0.361794708653924, 0.8474025974110863]",19,38
223,"[0.6893741918243048, 0.06493506506888841]",2,2
224,"[0.1983744176077797, 0.1093073594147177]",25,48
225,"[0.8321668274443556, 0.765151514980241]",2,4
226,"[0.09521561544533975, 0.08982683970949462]",31,61
227,"[0.4016132673847039, 0.08116883110541483]",14,27
228,"[0.5501734365077717, 0.07683982688027349]",7,13
229,"[0.547648857779323, 0.11580086582932826]",9,17
230,"[0.12967714128338576, 0.8430735930321478]",28,55
231,"[0.31774799368681306, 0.03787878777742159]",20,39
232,"[0.30584347611985707, 0.8419913418605146]",20,39
233,"[0.6143552061773867, 0.06060606053615282]",4,7
234,"[0.6309599556722907, 0.034632034723913435]",2,4
235,"[0.4059850988302589, 0.06601731608672447]",14,27
236,"[0.10818743457278089, 0.8928571426209544]",29,57
237,"[0.586851665609262, 0.07251082250133503]",6,11
238,"[0.43166191169866586, 0.8376623374815761]",17,33
239,"[0.5334865868995614, 0.7987012985325214]",12,22
240,"[0.3770858562046723, 0.07792207789810954]",15,29
241,"[0.10621703167842318, 0.11580086582932826]",28,55
242,"[0.14956589561680314, 0.8690476189981843]",27,54
243,"[0.5680507378683024, 0.04437229434582928]",6,11
244,"[0.1627224400174133, 0.13311688303748784]",26,51
245,"[0.31744011822180873, 0.8549783548435328]",20,42
246,"[0.47318404795191205, 0.05519480513937831]",10,19
247,"[0.7261960961350191, 0.8344155842742709]",9,17
248,"[0.2901213029268531, 0.0790043289159456]",20,39
249,"[0.7315120789783918, 0.10497835503577924]",3,4
250,"[0.06245766712976007, 0.13744588757022344]",30,59
251,"[0.6243508959167349, 0.8127705625333757]",9,16
252,"[0.2787709611939881, 0.8474025974110863]",22,43
253,"[0.32552698014813286, 0.08982683970949462]",19,38
254,"[0.8132632745581171, 0.7510822511331839]",2,4
255,"[0.4984914102739809, 0.08225108212325087]",9,17
256,"[0.145666139862865, 0.11255411262202297]",27,52
257,"[0.5984483077112137, 0.7932900431357468]",9,17
258,"[0.0664805730609496, 0.06060606053615282]",30,60
259,"[0.37101044723665094, 0.9112554111545443]",22,44
260,"[0.24517148662586957, 0.10064935050304365]",23,46
261,"[0.2888487510466425, 0.07792207789810954]",20,39
262,"[0.7391884403090166, 0.10497835503577924]",4,6
263,"[0.17091192710360018, 0.990259740224287]",28,55
264,"[0.48991194762406737, 0.051948051932073025]",9,17
265,"[0.37285769996834117, 0.09523809526006626]",17,33
266,"[0.3824839391613512, 0.1255411254512441]",19,37
267,"[0.37220089900355524, 0.08874458869165856]",17,33
268,"[0.6654625315596979, 0.025974025966036512]",2,3
269,"[0.25407934977276003, 0.08116883110541483]",22,43
270,"[0.5954106032272031, 0.04220779231015718]",4,7
271,"[0.5197758666648603, 0.8625541124297765]",16,30
272,"[0.4430122534461148, 0.11580086582932826]",11,21
273,"[0.2188173477607042, 0.10064935050304365]",24,47
274,"[0.5356622401136446, 0.08225108212325087]",8,14
275,"[0.9649227232611132, 0.8831168828452415]",3,2
276,"[0.4345148909095075, 0.1168831168471643]",11,22
277,"[0.2765132078520147, 0.12878787881234652]",25,48
278,"[0.12191867983945456, 0.8647186147730429]",28,55
279,"[0.05716220931835993, 0.8647186147730429]",30,59
280,"[0.6539069395071074, 0.7932900431357468]",7,13
281,"[0.41569343815115917, 0.8214285714450497]",17,33
282,"[0.5305309825288571, 0.8603896102403074]",15,29
283,"[0.6331150838398174, 0.08333333344868118]",2,3
284,"[0.23302066870441082, 0.008658008604079795]",24,46
285,"[0.5763839001637132, 0.06277056272562205]",5,9
286,"[0.19254530900884506, 0.8311688309131684]",26,51
287,"[0.09283471194069891, 0.8896103894136491]",28,55
288,"[0.18361692082998207, 0.8311688309131684]",26,51
289,"[0.603086964557828, 0.0790043289159456]",4,7
290,"[0.3323412902088303, 0.0909090908811278]",19,34
291,"[0.6138010303578797, 0.034632034723913435]",3,6
292,"[0.6769565485163708, 0.0790043289159456]",2,4
293,"[0.547648857779323, 0.11255411262202297]",6,11
294,"[0.1484164939138439, 0.04545454567125959]",28,55
295,"[0.14913486997454745, 0.8733766233771227]",27,54
296,"[0.64871410685557, 0.7489177489437147]",7,14
297,"[0.0649617208262362, 0.09956709948520759]",30,60
298,"[0.08560990128430224, 0.8517316016362275]",30,59
299,"[0.6482215061319806, 0.7792207791348925]",7,14
300,"[0.0778719648577597, 0.8928571426209544]",29,57
301,"[0.2384187516756737, 0.12987012967638545]",26,51
302,"[0.4115679070601069, 0.0790043289159456]",14,27
303,"[0.5130641817640257, 0.764069263962405]",14,27
304,"[0.6078898216310548, 0.805194805100929]",9,17
305,"[0.3387040495952995, 0.8138528138588059]",20,39
306,"[0.6979536544742183, 0.8852813851885077]",9,17
307,"[0.582254058826593, 0.07251082250133503]",5,8
308,"[0.11539172021178891, 0.13528138522695707]",28,55
309,"[0.7127727263333498, 0.835497835445904]",9,18
310,"[0.16253771474424428, 0.04329004332799323]",27,54
311,"[0.8176556310356446, 0.7911255409462776]",2,2
312,"[0.29615566183092934, 0.08874458869165856]",20,39
313,"[0.4080376018525068, 0.08874458869165856]",15,29
314,"[0.6024917386743758, 0.816017315894478]",9,17
315,"[0.12836353933923003, 0.11580086582932826]",28,55
316,"[0.23934237802693492, 0.7976190475146853]",24,48
317,"[0.22544693253364867, 0.9686147184833919]",28,55
318,"[0.1581043082027716, 0.835497835445904]",26,51
319,"[0.2309065905862453, 0.12987012967638545]",22,43
320,"[0.29541676073825324, 0.7803030301527286]",22,44
321,"[0.5149114344957159, 0.08008658008757877]",9,17
322,"[0.34863816423872995, 0.08982683970949462]",19,36
323,"[0.17550953387168539, 0.8192640691017833]",26,51
324,"[0.6703269637288424, 0.057359307482644666]",2,2
325,"[0.6882042651039569, 0.773809523738118]",6,11
326,"[0.1617167135382619, 0.8506493503107972]",26,52
327,"[0.5885347180851719, 0.8928571426209544]",13,26
328,"[0.15939738511495477, 0.9945887444494284]",30,59
329,"[0.4426633279317493, 0.7499999998077536]",16,30
330,"[0.21187988752275538, 0.8062770561187651]",25,48
331,"[0.05281090290477746, 0.12229437224393883]",31,62
332,"[0.2440426099694668, 0.8549783548435328]",24,46
333,"[0.6607828246491385, 0.05844155850048072]",2,3
334,"[0.3066439523084508, 0.9361471859489476]",26,51
335,"[0.33944295067339164, 0.835497835445904]",20,39
336,"[0.6381437162647422, 0.05952380951831677]",2,3
337,"[0.5149730095916335, 0.06709956695076338]",8,14
338,"[0.3528047453937273, 0.08874458869165856]",18,34
339,"[0.2342726955526489, 0.8690476189981843]",24,46
340,"[0.30426304878922605, 0.09199134189896385]",20,39
341,"[0.06087723979912905, 0.8528138526540636]",30,59
342,"[0.3048993247220394, 0.7770562767916261]",22,43
343,"[0.5323987602925199, 0.8116883115155396]",13,26
344,"[0.5377763182172263, 0.7586580084118334]",12,23
345,"[0.49832721003278446, 0.050865800914236974]",9,17
346,"[0.6288869276034863, 0.8885281383958131]",12,22
347,"[0.46080745469333917, 0.06277056272562205]",11,21
348,"[0.6236735699199764, 0.7824675323421978]",8,14
349,"[0.44935448780061144, 0.06385281405105236]",11,21
350,"[0.4073397508237758, 0.7878787877389724]",19,36
351,"[0.27755998440969515, 0.001082251017836051]",21,42
352,"[0.4977319841493323, 0.06926406929402974]",9,17
353,"[0.7993883540968033, 0.7976190475146853]",2,3
354,"[0.18158494283970672, 0.8463203463932502]",26,51
355,"[0.3298577615443267, 0.1266233767766744]",22,42
356,"[0.41977791917826635, 0.8928571426209544]",20,39
357,"[0.39013977546000356, 0.1168831168471643]",14,26
358,"[0.9480100983157889, 0.8820346318274054]",3,5
359,"[0.42205619753762835, 0.08766233767382252]",14,26
360,"[0.5519796391755168, 0.08116883110541483]",7,14
361,"[0.31577759077787143, 0.07792207789810954]",19,37
362,"[0.3539746721140752, 0.1266233767766744]",20,40
363,"[0.2248927567141416, 0.10497835503577924]",23,45
364,"[0.670573264097929, 0.06709956695076338]",2,3
365,"[0.18665462531399274, 0.9361471859489476]",29,57
366,"[0.5404445721548989, 0.1168831168471643]",9,18
367,"[0.4952895055487738, 0.11363636363985903]",8,14
368,"[0.6019170378228962, 0.8906926404314852]",12,23
369,"[0.46969479279367315, 0.010822510793549026]",10,20
370,"[0.799963054948283, 0.7662337659980771]",2,3
371,"[0.7675950822110139, 0.7987012985325214]",3,6
372,"[0.17358018102668887, 0.8679653678265511]",26,51
373,"[0.3794872847412857, 0.03896103879525764]",16,32
374,"[0.38236078898409986, 0.8095238093260704]",19,37
375,"[0.17156872806838608, 0.08441558446651723]",26,52
376,"[0.2918659304986806, 0.12229437224393883]",20,39
377,"[0.04460089078661803, 0.123376623415572]",30,62
378,"[0.415796063296438, 0.8062770561187651]",17,34
379,"[0.21916627327506968, 0.08549783563815042]",24,47
380,"[0.6440549249769832, 0.08441558446651723]",2,4
381,"[0.7549927136153269, 0.10389610386414605]",8,4
382,"[0.7951601978604723, 0.7629870129445689]",3,4
383,"[0.28638574741411144, 0.001082251017836051]",20,39
384,"[0.19102645675954777, 0.1320346320196518]",24,47
385,"[0.25584450237656003, 0.08333333344868118]",23,44
386,"[0.6785369758470018, 0.05627705615721436]",2,2
387,"[0.5332608115624473, 0.7900432899284415]",11,22
388,"[0.587693191847217, 0.7489177489437147]",10,19
389,"[0.07553211141706394, 0.057359307482644666]",30,58
390,"[0.1390776051392817, 0.8722943720516924]",28,55
391,"[0.43139508631219053, 0.08982683970949462]",13,26
392,"[0.2109357361249377, 0.13095238100181575]",23,46
393,"[0.33082243795953303, 0.9253246751553986]",24,46
394,"[0.22491328174611414, 0.8538961039794939]",25,49
395,"[0.3572997270165337, 0.07575757586243743]",17,32
396,"[0.5887399683903135, 0.034632034723913435]",5,9
397,"[0.09804806962420885, 0.8852813851885077]",29,56
398,"[0.11865520001832978, 0.8452380950678199]",28,55
399,"[0.0740337841997392, 0.09848484846737154]",30,60
